U2414Hb,Category,Manufacturer,Model_Name,Warranty,Supplier,Purchase_Cost,Note
DH-IPC-HFW1230SP-S4,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230SP-S4,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230SP-L,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230SP-L,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW2231TP-AS-S2,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HDW2231TP-AS-S2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230SP-S4,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230SP-S4,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HFW1230SP-S3,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230SP-S3,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1430SP,Camera,Dahua,Camera IP dome 4.0MP DH-IPC-HDW1430SP,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230SP-S3,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230SP-S3,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230TLTT-S4,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230TLTT-S4,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW2431TP-AS-S2,Camera,Dahua,Camera IP dome 4.0MP DH-IPC-HDW2431TP-AS-S2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HFW1230MP-S-I2,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230MP-S-I2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
IPC-HFW1230M-S-I2,Camera,Dahua,Camera IP thân trụ 2.0MP IPC-HFW1230M-S-I2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW2230TP-AS-S2,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW2230TP-AS-S2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HFW1230TLTT-S4,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230TLTT-S4,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HFW1230SP-S5,Camera,Dahua,Camera IP thân trụ 2.0MP DH-IPC-HFW1230SP-S5,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DH-IPC-HDW1230SP-S5,Camera,Dahua,Camera IP dome 2.0MP DH-IPC-HDW1230SP-S5,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DHI-NVR5232-4KS2,Network Video Recoder,Dahua,Đầu ghi hình IP 32 kênh DHI-NVR5232-4KS2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DHI-NVR5232-TLTT-S2,Network Video Recoder,Dahua,Đầu ghi hình IP 32 kênh DHI-NVR5232-TLTT-S2,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DHI-NVR4216-4KS2/L,Network Video Recoder,Dahua,Đầu ghi hình IP 16 kênh DHI-NVR4216-4KS2/L,24,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
WD40PURZ,HDD,Western Digital,HDD 4TB WD40PURZ,36,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
WD82PURZ,HDD,Western Digital,HDD 8TB WD82PURZ,36,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PFS3009-8ET-96,Switch,Dahua,Switch POE 8 Port PFS3009-8ET-96,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PFS4218-16ET-190,Switch,Dahua,Switch POE 16 Port PFS4218-16ET-190,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
0023MW6,Wifi,Tenda,Wifi Mesh Nova MW6,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
UAP-AC-LR,Wifi,Ubiquiti,Unifi UAP-AC-LR,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
UAP-AC-Pro,Wifi,Ubiquiti,Unifi UAP-AC-Pro,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
UAP-nanoHD,Wifi,Ubiquiti,Unifi UAP-nanoHD,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
EAP245(US),Wifi,TP-Link,Omada EAP245(US) v3.0,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
Vigor2915,Router,Draytek,Vigor 2915 Dual-WAN VPN,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
Vigor2925,Router,Draytek,Vigor 2925 Dual-WAN VPN,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
Vigor2960,Router,Draytek,Vigor 2960 Dual-WAN VPN,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
RB750Gr3,Router,Mikrotik,RouterBOARD hEX RB750Gr3,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
RB1100AHx4,Router,Mikrotik,RouterBOARD RB1100AHx4,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,HO
PFS3024-24GT,Switch,Dahua,Switch 24 port PFS3024-24GT,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
KX-CSW16,Switch,Kbvision,Switch 16 port KX-CSW16,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
32HD958E,TV,Darling,Internet TV 32 Inch 32HD958E,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
X9,Android Box,Vinabox,Android TV Box X9,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
X96H,Android Box,SeeNew,Android TV Box X96H,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
QCTTV,Marketing,Tlink,Bảng điện chiếu QC Thẻ thành viên,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PC-2852,Speaker,TOA,15W PC-2852,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PC-658R,Speaker,TOA,6W PC-658R,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
101,Speaker,Bose,101,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
ABS-500U,Amplifier,Abspa,ABS-500U,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PA 1207A,Amplifier,Nanomax,PA 1207A,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
3267,PC,Dell,Vostro Desktop 3267,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
 3681,PC,Dell,Vostro Desktop 3681,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
OT15TB,Touchscreen,Otek,"Màn hình cảm ứng 15"" OT15TB",12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
TS17TB,Touchscreen,Tysso,"Màn hình cảm ứng 17"" TS17TB",12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
UM-760,Subscreen,Mimo,Màn hình phụ USB UM-760,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
L1016,Subscreen,Towin,"Màn hình phụ 10.1"" L1016",12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
MS116,Mouse,Dell,MS116,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
KB216,Keyboard,Dell,KB216,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
TP-3250IIL,Thermal Printer,Codesoft,TP-3250IIL,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
PRP-085USE,Thermal Printer,Antech,PRP-085USE,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
XP-Q260III,Thermal Printer,Xprinter,XP-Q260III,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
KOV1,Thermal Printer,KiotViet,KOV1,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
AS8600,Barcode Reader,Antech,AS8600,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
DS9308,Barcode Reader,Zebra,DS9308,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
NKDT,Cash Drawer,Cash Drawer,Ngăn kéo đựng tiền,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
6U,Rack,No Brand,Tủ rack 6U,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
10U,Rack,No Brand,Tủ rack 10U,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
1000VA,UPS,Santak,UPS 1000VA,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
CL5200,Digital Scale,CAS,CL5200,12,Công ty TNHH Phát triển Sản xuất Thương mại Dịch vụ An Phát,,
CL5200B,Digital Scale,CAS,CL5200B,12,Công ty TNHH Phát triển Sản xuất Thương mại Dịch vụ An Phát,,
TPS4050-A12E,Digital Scale,TPS,100Kg TPS4050-A12E,12,Công ty TNHH Phát triển Sản xuất Thương mại Dịch vụ An Phát,,
6kg,Digital Scale,SuperSS,6Kg,12,Công ty TNHH Phát triển Sản xuất Thương mại Dịch vụ An Phát,,
V2 Pro,Mobile Terminal,Sunmi,V2 Pro,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
AMD03HP,Security Gate,EAS,AMD03HP,12,Công ty TNHH Phát triển Sản xuất Thương mại Dịch vụ An Phát,,
AMD02HP,Security Gate,EAS,AMD02HP,12,Công ty TNHH Phát triển Sản xuất Thương mại Dịch vụ An Phát,,
S78,Point of Sale,Vietcombank,S78,,Ngân hàng TMCP Ngoại thương Việt Nam,,
D210,Point of Sale,Vietcombank,D210,,Ngân hàng TMCP Ngoại thương Việt Nam,,
S80,Point of Sale,Vietcombank,S80,,Ngân hàng TMCP Ngoại thương Việt Nam,,
EB-982W,Projector,Epson,EB-982W,24,,,HO
UA65RU7100K,TV,Samsung,Smart Tivi 4K 65 inch UA65RU7100K,24,,,HO
UA65AU8000K,TV,Samsung,Smart Tivi 4K 65 Inch UA65AU8000K,24,,,HO
915P,Speaker,Paudio,Eco Master 915P 450W 8Ohms,12,,,HO
UA43AU7700K,TV,Samsung,Smart Tivi 4K 43 inch UA43AU7700K,24,,,HO
MTA4ATF51264AZ-2G3E1,RAM,Micron,DDR4 SDRAM 4GB 2400MT/s 288-UDIMM MTA4ATF51264AZ-2G3E1,36,,,HO
HMA41GU7AFR8N-TF,RAM,SK Hynix,8GB DDR4-2133 ECC UDIMM HMA41GU7AFR8N-TF,36,,,HO
ST1000DM010,HDD,Seagate,Barracuda 1TB 7200RPM 64MB ST1000DM010,24,,,HO
F4-3000C16D-16GVRB,RAM,G.Skill,8GB DDR4-3000MHz F4-3000C16D-16GVRB,36,,,Dual Channel Kit
SA400S37/480G,SSD,Kingston,A400 2.5-Inch SATA III 480GB SA400S37/480G,36,,,HO
SA400S37/120G,SSD,Kingston,A400 2.5-Inch SATA III 120GB SA400S37/120G,36,,,HO
AC,Other,No Brand,Dây nguồn AC,,,,HO
PDA L2K,Mobile Terminal,Sunmi,PDA L2K (2D),12,,,HO
ZMK-122,Keyboard,Zadez,ZMK-122,12,,,HO
AC2600,Router,Xiaomi,Pro AC2600 (R3P),12,,,HO
F671Y,Modem,ZTE,GPON ONT ZXHN F671Y,,,,HO
TL-WR1043ND,Router,TP-Link,Router Wifi TL-WR1043ND,12,,,HO
AC/DC Adapter,Other,No Brand,AC/DC Adapter,,,,HO
C50 AC1200,Router,TP-Link,Archer C50 AC1200Mbps,12,,,HO
C24 AC750,Router,TP-Link,Archer C24 AC750Mbps,12,,,HO
DHI-NVR1108HS-S3/H,Network Video Recoder,Dahua,Đầu ghi hình IP 8 kênh DHI-NVR1108HS-S3/H,24,,,HO
TL-WR1043ND,Router,TP-Link,Router Wifi TL-WR1043ND 450Mbps,12,,,HO
8ECO,Other,Điện quang,ECO ĐQ ESK 8ECO (8 Lỗ),12,,,HO
USBA-B,Other,No Brand,Cáp chuyển đổi USB Type A - Type B,,,,HO
10108,HDMI,Ugreen,HDMI 3M 4K/2K 10108,18,,,HO
FEH-5000,Digital Scale,AND,FEH-5000,12,,,HO
VPL-DX111,Projector,Sony,XGA VPL-DX111,24,,,HO
3470 V8X6M2,PC,Dell,Inspiron 3470 V8X6M2 Core I3/4GB/1TB,12,,,HO
BGG2,Other,Bosch,Go Gen 2,6,,,HO
TL-SG1016DE,Switch,TP-Link,TL-SG1016DE 16-port 10/100/1000Mbps,12,,,HO
SE2417HGX,Monitor,Dell,SE2417HGX 23.6Inch 75Hz 1ms,36,,,HO
LS24E360HL/XV,Monitor,Samsung,LS24E360HL/XV LED 24 inch Full HD,24,,,HO
B472C,Printer,Epson,L1800 B472C,,,,HO
U2414Hb,Monitor,Dell,UltraSharp U2414Hb 23.8” Inch LED,36,,,HO
U2419H,Monitor,Dell,UltraSharp U2419H 23.8 inch,36,,,HO
S2421H,Monitor,Dell,S2421H 23.8 inch FHD IPS,36,,,HO
S2440L,Monitor,Dell,S2440L 24-Inch Screen LED,36,,,HO
VX2480-2K-SHD,Monitor,Viewsonic,2K 24 Inch IPS 75Hz VX2480-2K-SHD,36,,,HO
NODE01C,Server,Custom,NODE01,,,,HO
X3250M4,Server,IBM,X3250 M4 - NODE02,,,,HO
NODE03C,Server,Custom,NODE03,,,,HO
DH-PFS3110-8ET-96,Switch,Dahua,PoE 8 Ports 10/100 DH-PFS3110-8ET-96,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
60U56PA,PC,HP,ProDesk 400 G7 SFF 60U56PA,12,,,i5-10400/8G/SSD 256GB/DVDRW/Windows11
TS-15TB,Touchscreen,Tysso,"Màn hình cảm ứng 15"" TS-15TB",12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
M365RC,Subscreen,Otek,"Màn hình phụ 10.4"" M365RC",12,,,
KP15TS,Touchscreen,KeyPos,"Màn hình cảm ứng 15"" KP",12,,,
S24,Switch,Tamio,Switch 24 port S24,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
S01-PF1167D 22X66AA,PC,HP,S01-PF1167D 22X66AA,12,Công Ty Cổ Phần Kết Nối Công Nghệ TLINKVN,,
